Gene Symbol,Role in Cancer
ABI1,TSG
ABL1,oncogene
ABL2,oncogene
ACKR3,oncogene
ACSL3,
ACSL6,
ACVR1,oncogene
ACVR2A,TSG
AFF1,oncogene
AFF3,oncogene
AFF4,oncogene
AKAP9,oncogene
AKT1,oncogene
AKT2,oncogene
ALDH2,TSG
ALK,oncogene
AMER1,TSG
APC,TSG
APOBEC3B,oncogene/TSG
AR,oncogene
ARHGAP26,TSG
ARHGEF12,TSG
ARID1A,TSG
ARID1B,TSG
ARID2,TSG
ARNT,oncogene/TSG
ASPSCR1,oncogene
ASXL1,TSG
ATF1,
ATIC,oncogene
ATM,TSG
ATP1A1,oncogene/TSG
ATP2B3,TSG
ATR,TSG
ATRX,TSG
AXIN1,TSG
AXIN2,TSG
B2M,TSG
BAP1,TSG
BCL10,oncogene/TSG
BCL11A,oncogene
BCL11B,oncogene/TSG
BCL2,oncogene
BCL3,oncogene
BCL5,oncogene
BCL6,oncogene
BCL7A,oncogene
BCL9,oncogene
BCL9L,oncogene/TSG
BCOR,TSG
BCORL1,oncogene/TSG
BCR,oncogene
BIRC3,oncogene/TSG
BLM,TSG
BMPR1A,oncogene/TSG
BRAF,oncogene
BRCA1,TSG
BRCA2,TSG
BRD3,oncogene
BRD4,oncogene
BRIP1,TSG
BTG1,TSG
BTK,oncogene/TSG
BUB1B,TSG
C12orf9,
C15orf65,
C2orf44,oncogene
CACNA1D,oncogene
CALR,oncogene
CAMTA1,TSG
CANT1,oncogene
CARD11,oncogene
CARS,oncogene/TSG
CASC5,
CASP8,TSG
CBFA2T3,
CBFB,TSG
CBL,oncogene/TSG
CBLB,TSG
CBLC,oncogene/TSG
CCDC6,TSG
CCNB1IP1,TSG
CCND1,oncogene
CCND2,oncogene
CCND3,oncogene
CCNE1,oncogene
CD274,TSG
CD74,oncogene
CD79A,oncogene
CD79B,oncogene
CDC73,TSG
CDH1,TSG
CDH11,TSG
CDK12,TSG
CDK4,oncogene
CDK6,oncogene
CDKN1B,TSG
CDKN2A,TSG
CDKN2A(p14),
CDKN2C,TSG
CDX2,TSG
CEBPA,TSG
CEP89,
CHCHD7,
CHD4,oncogene
CHEK2,TSG
CHIC2,
CIC,oncogene/TSG
CIITA,TSG
CLIP1,
CLP1,
CLTC,TSG
CLTCL1,TSG
CNBP,TSG
CNOT3,TSG
CNTRL,
COL1A1,oncogene
COL2A1,oncogene
COX6C,
CREB1,oncogene
CREB3L1,TSG
CREB3L2,oncogene
CREBBP,oncogene/TSG
CRLF2,oncogene
CRTC1,oncogene
CRTC3,
CSF3R,oncogene
CTCF,TSG
CTNNB1,oncogene
CUX1,oncogene/TSG
CXCR4,oncogene
CYLD,TSG
DAXX,oncogene/TSG
DCTN1,
DDB2,oncogene/TSG
DDIT3,TSG
DDR2,oncogene
DDX10,TSG
DDX3X,TSG
DDX5,oncogene
DDX6,
DEK,
DICER1,TSG
DNAJB1,
DNM2,
DNMT3A,TSG
DROSHA,TSG
DUX4L1,
EBF1,
ECT2L,
EGFR,
EIF3E,
EIF4A2,
ELF4,
ELK4,
ELL,
ELN,
EML4,
EP300,
EPAS1,oncogene/TSG
EPS15,
ERBB2,oncogene
ERBB3,oncogene
ERBB4,oncogene/TSG
ERC1,
ERCC2,TSG
ERCC3,
ERCC4,
ERCC5,
ERG,
ESR1,
ETNK1,
ETV1,
ETV4,
ETV5,
ETV6,
EWSR1,
EXT1,
EXT2,
EZH2,oncogene/TSG
EZR,oncogene
FAM131B,
FAM46C,
FANCA,
FANCC,
FANCD2,
FANCE,
FANCF,
FANCG,
FAS,
FAT1,TSG
FAT4,TSG
FBXO11,
FBXW7,
FCGR2B,
FCRL4,
FES,oncogene/TSG
FEV,
FGFR1,
FGFR1OP,
FGFR2,
FGFR3,
FGFR4,
FH,
FHIT,
FIP1L1,
FLCN,
FLI1,
FLT3,oncogene
FLT4,
FNBP1,
FOXA1,
FOXL2,
FOXO1,oncogene/TSG
FOXO3,oncogene/TSG
FOXO4,oncogene/TSG
FOXP1,oncogene
FSTL3,
FUBP1,
FUS,oncogene
GAS7,
GATA1,oncogene/TSG
GATA2,oncogene
GATA3,oncogene/TSG
GMPS,
GNA11,
GNAQ,
GNAS,
GOLGA5,
GOPC,
GPC3,
GPHN,
GRIN2A,
H3F3A,
H3F3B,
HERPUD1,
HEY1,
HIF1A,oncogene
HIP1,
HIST1H3B,
HIST1H4I,
HLA-A,
HLF,oncogene
HMGA1,
HMGA2,oncogene
HMGN2P46,
HNF1A,
HNRNPA2B1,
HOOK3,
HOXA11,oncogene
HOXA13,oncogene
HOXA9,oncogene
HOXC11,oncogene
HOXC13,oncogene
HOXD11,oncogene
HOXD13,oncogene
HRAS,oncogene
HSP90AA1,
HSP90AB1,
IDH1,oncogene
IDH2,oncogene
IGH,
IGK,
IGL,
IKBKB,oncogene
IKZF1,TSG
IL2,
IL21R,
IL6ST,
IL7R,
IRF4,oncogene/TSG
ITK,
JAK1,
JAK2,oncogene
JAK3,
JAZF1,
JUN,
KAT6A,
KAT6B,
KCNJ5,
KDM5A,
KDM5C,
KDM6A,
KDR,
KDSR,
KEAP1,TSG
KIAA1549,
KIAA1598,
KIF5B,
KIT,oncogene
KLF4,oncogene/TSG
KLF6,
KLK2,
KMT2A,oncogene
KMT2C,
KMT2D,
KRAS,oncogene
KTN1,
LASP1,
LCK,
LCP1,
LEF1,oncogene/TSG
LHFP,
LIFR,
LMNA,
LMO1,
LMO2,
LPP,
LRIG3,
LRP1B,TSG
LSM14A,
LYL1,
LZTR1,TSG
MAF,
MAFB,
MALAT1,
MALT1,
MAML2,
MAP2K1,oncogene
MAP2K2,oncogene
MAP2K4,
MAP3K1,
MAP3K13,
MAPK1,oncogene
MAX,
MDM2,oncogene
MDM4,oncogene
MDS2,
MECOM,oncogene
MED12,
MEN1,TSG
MET,oncogene
MITF,
MKL1,
MLF1,
MLH1,
MLLT1,oncogene
MLLT10,
MLLT11,
MLLT3,oncogene
MLLT4,
MLLT6,
MN1,
MNX1,
MPL,oncogene
MSH2,
MSH6,
MSI2,
MSN,
MTCP1,
MTOR,oncogene
MUC1,
MUTYH,
MYB,
MYC,oncogene
MYCL,
MYCN,oncogene
MYD88,oncogene
MYH11,
MYH9,
MYO5A,
MYOD1,
NAB2,oncogene
NACA,
NBN,
NCKIPSD,
NCOA1,
NCOA2,
NCOA4,
NCOR1,
NCOR2,TSG
NDRG1,
NF1,
NF2,TSG
NFATC2,
NFE2L2,
NFIB,
NFKB2,oncogene
NFKBIE,
NIN,
NKX2-1,
NONO,
NOTCH1,oncogene/TSG
NOTCH2,oncogene/TSG
NPM1,
NR4A3,
NRAS,oncogene
NRG1,
NSD1,
NT5C2,
NTRK1,
NTRK3,
NUMA1,
NUP214,
NUP98,
NUTM1,oncogene
NUTM2A,
NUTM2B,
OLIG2,
OMD,
P2RY8,
PAFAH1B2,
PALB2,TSG
PAX3,
PAX5,
PAX7,
PAX8,
PBRM1,TSG
PBX1,
PCM1,
PCSK7,
PDCD1LG2,
PDE4DIP,
PDGFB,oncogene
PDGFRA,oncogene
PDGFRB,
PER1,
PHF6,
PHOX2B,
PICALM,
PIK3CA,oncogene
PIK3R1,
PIM1,
PLAG1,oncogene
PLCG1,
PML,TSG
PMS1,
PMS2,
POLE,
POT1,
POU2AF1,
POU5F1,
PPARG,
PPFIBP1,
PPM1D,oncogene
PPP2R1A,
PPP6C,
PRCC,
PRDM1,
PRDM16,
PREX2,oncogene
PRF1,
PRKACA,oncogene
PRKAR1A,
PRRX1,
PSIP1,
PTCH1,
PTEN,TSG
PTK6,oncogene/TSG
PTPN11,oncogene
PTPN13,TSG
PTPRB,
PTPRC,
PTPRK,
PTPRT,TSG
PWWP2A,
QKI,oncogene/TSG
RABEP1,
RAC1,oncogene
RAD21,
RAD51B,
RAF1,
RALGDS,
RANBP17,
RANBP2,
RAP1GDS1,
RARA,oncogene
RB1,TSG
RBM10,TSG
RBM15,
RECQL4,
REL,oncogene
RET,oncogene
RHOA,
RHOH,
RMI2,
RNF213,
RNF217-AS1,
RNF43,
ROS1,oncogene
RPL10,
RPL22,
RPL5,
RPN1,
RSPO2,
RSPO3,
RUNDC2A,
RUNX1,oncogene/TSG
RUNX1T1,oncogene
SALL4,oncogene
SBDS,
SDC4,
SDHA,TSG
SDHAF2,
SDHB,
SDHC,
SDHD,
5-Sep,
6-Sep,
9-Sep,
SET,
SETBP1,
SETD2,TSG
SF3B1,
SFPQ,
SFRP4,TSG
SH2B3,TSG
SH3GL1,
SLC34A2,
SLC45A3,
SMAD2,TSG
SMAD3,TSG
SMAD4,TSG
SMARCA4,
SMARCB1,
SMARCD1,
SMARCE1,
SMO,
SND1,
SOCS1,TSG
SOX2,
SPECC1,
SPEN,
SPOP,
SRC,oncogene
SRGAP3,
SRSF2,
SRSF3,
SS18,
SS18L1,
SSX1,
SSX2,
SSX4,
STAG2,
STAT3,oncogene
STAT5B,
STAT6,
STIL,
STK11,TSG
STRN,
SUFU,
SUZ12,
SYK,oncogene
TAF15,
TAL1,
TAL2,
TBL1XR1,
TBX3,oncogene/TSG
TCEA1,
TCF12,
TCF3,
TCF7L2,
TCL1A,
TCL6,
TERT,
TET1,oncogene/TSG
TET2,TSG
TFE3,
TFEB,
TFG,
TFPT,
TFRC,
TGFBR2,TSG
THRAP3,
TLX1,
TLX3,
TMEM127,
TMPRSS2,
TNFAIP3,
TNFRSF14,
TNFRSF17,
TOP1,
TP53,oncogene/TSG
TP63,oncogene/TSG
TPM3,TSG
TPM4,
TPR,
TRA,
TRAF7,
TRB,
TRD,
TRIM24,oncogene
TRIM27,
TRIM33,
TRIP11,
TRRAP,oncogene
TSC1,TSG
TSC2,TSG
TSHR,
TTL,
U2AF1,
UBR5,
USP6,
USP8,oncogene
VHL,TSG
VTI1A,
WAS,oncogene
WHSC1,
WHSC1L1,
WIF1,
WRN,
WT1,
WWTR1,oncogene
XPA,TSG
XPC,TSG
XPO1,oncogene
YWHAE,
ZBTB16,
ZCCHC8,
ZFHX3,TSG
ZNF198,
ZNF278,
ZNF331,
ZNF384,
ZNF521,
ZRSR2,